0.96,0.4813,0.4788,0.4825,0.4763,0.485,0.4775,0.4838,0.485,0.4825,0.475,0.4788,0.4825,0.4813,0.4838,0.4838,0.4863,0.4813,0.4788,0.4824
0.8363,0.6775,0.5475,0.6238,0.5425,0.4725,0.6663,0.5625,0.6575,0.7037,0.6787,0.4988,0.6275,0.6637,0.605,0.6613,0.6338,0.6725,0.4225,0.7475
0.91,0.5938,0.855,0.5525,0.5138,0.5025,0.6625,0.6763,0.5913,0.8287,0.6937,0.5188,0.6637,0.6538,0.5813,0.565,0.5725,0.5725,0.48,0.8279
0.8187,0.6288,0.5125,0.6288,0.575,0.47,0.6475,0.4875,0.6212,0.5787,0.57,0.5725,0.5513,0.61,0.5975,0.6225,0.6587,0.625,0.3987,0.5967
0.7987,0.55,0.4225,0.5913,0.5887,0.4363,0.5475,0.4138,0.605,0.4587,0.45,0.4688,0.4225,0.5075,0.5387,0.5025,0.6038,0.5587,0.3337,0.4799
0.7013,0.3275,0.25,0.4462,0.4263,0.6288,0.3113,0.2562,0.2938,0.25,0.2587,0.3488,0.26,0.2625,0.4263,0.3275,0.3287,0.3488,0.2625,0.2513
0.8538,0.685,0.6225,0.615,0.5475,0.4888,0.71,0.6012,0.6663,0.7438,0.695,0.555,0.6625,0.6887,0.6112,0.6887,0.6575,0.6538,0.455,0.804
0.895,0.6212,0.65,0.51,0.4925,0.4675,0.61,0.715,0.6012,0.77,0.7638,0.4763,0.7425,0.57,0.5563,0.4975,0.5387,0.585,0.5175,0.8807
0.8425,0.6813,0.5775,0.6125,0.56,0.4425,0.6663,0.595,0.7125,0.715,0.7,0.5025,0.6188,0.6538,0.6138,0.6175,0.6125,0.6475,0.4437,0.7776
0.915,0.6275,0.7675,0.545,0.5,0.4875,0.6587,0.6975,0.6125,0.8512,0.7412,0.49,0.7087,0.6512,0.5925,0.5563,0.5375,0.575,0.4713,0.9083
0.8962,0.64,0.6775,0.56,0.515,0.4738,0.645,0.7113,0.6112,0.8013,0.76,0.4963,0.7288,0.5975,0.5887,0.5737,0.5513,0.5938,0.4938,0.8832
0.8688,0.5975,0.6312,0.6088,0.5312,0.4875,0.6713,0.5375,0.58,0.6312,0.6188,0.59,0.5875,0.6925,0.6088,0.7863,0.63,0.615,0.4738,0.6583
0.8925,0.6375,0.6425,0.5225,0.5012,0.4675,0.655,0.7375,0.61,0.7837,0.765,0.4875,0.7638,0.615,0.5587,0.6075,0.5288,0.59,0.5437,0.8631
0.9025,0.6275,0.6338,0.535,0.5138,0.4925,0.645,0.5988,0.6112,0.7325,0.6425,0.51,0.6412,0.7987,0.5563,0.645,0.55,0.6288,0.4888,0.7776
0.8075,0.6637,0.5088,0.6175,0.5837,0.4575,0.6475,0.5663,0.6488,0.64,0.6462,0.5687,0.5938,0.5813,0.6262,0.5913,0.6625,0.6388,0.415,0.6947
0.9087,0.5613,0.4988,0.5713,0.5188,0.4763,0.6038,0.5175,0.58,0.5675,0.565,0.5637,0.6025,0.6637,0.5463,0.8588,0.5663,0.61,0.5125,0.5603
0.8325,0.6312,0.5587,0.6388,0.5663,0.4763,0.64,0.5012,0.6225,0.5763,0.595,0.5863,0.5387,0.5925,0.6,0.6238,0.6825,0.5875,0.4313,0.6168
0.8387,0.68,0.5437,0.5825,0.5487,0.4688,0.6787,0.5637,0.6613,0.6925,0.6538,0.5175,0.6225,0.6875,0.5887,0.6813,0.5962,0.6863,0.435,0.75
0.9113,0.5513,0.51,0.4938,0.4738,0.465,0.5575,0.815,0.5375,0.6775,0.765,0.4963,0.8287,0.4625,0.5212,0.5225,0.4913,0.5238,0.9363,0.7111
0.9163,0.5975,0.7188,0.5212,0.5038,0.4888,0.6312,0.7175,0.5887,0.8387,0.7375,0.49,0.705,0.6088,0.5675,0.5288,0.5262,0.5525,0.4738,0.9183
